prompt,label
"Explain fraud detection in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
"Describe ecommerce in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
"You are mentoring a junior developer. Explain quantum computing with hands-on examples, common mistakes beginners make, and tips for mastering the concept. Use a friendly tone.",1
financial technology,0
"Explain the concept of REST API design using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
Define reinforcement learning,0
what about reinforcement learning,0
"You are preparing exam notes. Explain parallel computing covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
I need info on distributed systems,0
Define linear algebra,0
"You are preparing exam notes. Explain climate change covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
Give me computer vision details,0
graphql explain,0
"Explain the concept of calculus applications using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
Help me with microservices,0
"Provide a critical analysis of Windows server. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
"Create a cheat sheet for data warehousing. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
"Design a lesson plan for teaching renewable energy to beginners. Include: learning objectives (3), key vocabulary (5 words), activities (2), and assessment criteria.",1
"Explain the concept of ecommerce using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
Need to know programming paradigms,0
"You are preparing exam notes. Explain decentralized finance covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
EXPLAIN RENEWABLE ENERGY,0
Define blockchain technology,0
"Summarize edge computing in a professional report format. Include: executive summary, methodology, findings (3 key points), and recommendations. Limit to 300 words.",1
Write a FAQ section for time series analysis with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
what is chatbot development,0
Help me with CI CD pipelines,0
"Describe machine learning operations in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
What is smart cities,0
Explain big data in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
decentralized finance?,0
Explain transfer learning in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
Describe augmented reality,0
Plz explain anomaly detection,0
photosynthesis?,0
Brief on database management,0
"Write about data mining from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
"Write about 5G technology from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
Write a FAQ section for functional programming with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
Write a FAQ section for API development with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
cloud storage,0
I need info on embedded systems,0
Define photosynthesis,0
"Provide a beginner-friendly introduction to test driven development. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
Tell me about Windows server,0
Explain autonomous vehicles in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
define transfer learning,0
"Create a cheat sheet for renewable energy. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
Brief on web development,0
Plz explain image recognition,0
"Analyze how CI CD pipelines has evolved over the last decade. Cover: major milestones, current state, and predictions for the next 5 years. Use specific dates and examples.",1
"Explain the concept of programming paradigms using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
text summarization overview,0
"Write about anomaly detection from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
explain machine learning operations,0
"You are a technical writer. Create documentation for cloud storage including: overview, getting started guide, key features, and troubleshooting section. Use markdown formatting.",1
"Write a detailed explanation of DevOps covering: 1) Definition, 2) Key concepts, 3) Real-world applications, 4) Advantages and disadvantages. Use clear headings.",1
"Explain software engineering with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
"Provide a beginner-friendly introduction to compiler design. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
define game development,0
"Create a study guide for recommendation systems that includes: key terminology (5 terms), core concepts (3 points), practice questions (3 questions), and further reading suggestions.",1
Write a FAQ section for GraphQL with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
"You are mentoring a junior developer. Explain DevOps with hands-on examples, common mistakes beginners make, and tips for mastering the concept. Use a friendly tone.",1
"Explain the concept of test driven development using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
You are an expert professor. Explain linear algebra to a beginner student step-by-step with practical examples and a summary at the end.,1
need to know blockchain technology,0
write about virtual reality,0
electric vehicles explain,0
"Create a cheat sheet for parallel computing. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
"Summarize optimization techniques in a professional report format. Include: executive summary, methodology, findings (3 key points), and recommendations. Limit to 300 words.",1
Docker containers explain,0
"Provide a beginner-friendly introduction to mobile app development. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
Plz explain DevOps,0
"You are a technical writer. Create documentation for serverless computing including: overview, getting started guide, key features, and troubleshooting section. Use markdown formatting.",1
what is quantum computing,0
Write about web development,0
Explain functional programming in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
"Summarize Kubernetes orchestration in a professional report format. Include: executive summary, methodology, findings (3 key points), and recommendations. Limit to 300 words.",1
Describe distributed systems,0
"Analyze how test driven development has evolved over the last decade. Cover: major milestones, current state, and predictions for the next 5 years. Use specific dates and examples.",1
"Explain the concept of climate change using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
Compare and contrast image recognition with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
"Analyze how virtual reality has evolved over the last decade. Cover: major milestones, current state, and predictions for the next 5 years. Use specific dates and examples.",1
I NEED INFO ON DATABASE MANAGEMENT,0
"Explain fraud detection in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
"You are a senior software engineer. Explain project management with code examples, best practices, and common pitfalls. Structure your answer with clear sections.",1
WHAT ABOUT MOBILE APP DEVELOPMENT,0
graph theory explain,0
What about fraud detection,0
give me compiler design details,0
Tell me about Docker containers,0
Plz explain microservices,0
write about software engineering,0
"Create a study guide for cloud storage that includes: key terminology (5 terms), core concepts (3 points), practice questions (3 questions), and further reading suggestions.",1
what about automation testing,0
"You are mentoring a junior developer. Explain embedded systems with hands-on examples, common mistakes beginners make, and tips for mastering the concept. Use a friendly tone.",1
"Summarize calculus applications in a professional report format. Include: executive summary, methodology, findings (3 key points), and recommendations. Limit to 300 words.",1
"Create a cheat sheet for agile methodology. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
Info predictive analytics,0
"Write about computer vision from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
PREDICTIVE ANALYTICS,0
"Describe image recognition in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
Something about CI CD pipelines,0
"Design a lesson plan for teaching recommendation systems to beginners. Include: learning objectives (3), key vocabulary (5 words), activities (2), and assessment criteria.",1
I need info on serverless computing,0
"Describe transfer learning in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
Write about design patterns,0
talk about probability theory,0
"Provide a critical analysis of Windows server. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
write about behavior driven development,0
"You are a senior software engineer. Explain agile methodology with code examples, best practices, and common pitfalls. Structure your answer with clear sections.",1
Compare and contrast machine learning operations with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
Write a FAQ section for blockchain technology with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
Write a FAQ section for financial technology with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
"Summarize ethical hacking in a professional report format. Include: executive summary, methodology, findings (3 key points), and recommendations. Limit to 300 words.",1
"Write about database management from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
"Create a cheat sheet for fraud detection. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
PLZ EXPLAIN PHOTOSYNTHESIS,0
"Provide a critical analysis of Python programming. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
Define web development,0
Define sentiment analysis,0
time series analysis,0
continuous integration explain,0
Need to know information security,0
"Write a comprehensive guide on Linux administration. Include: prerequisites, step-by-step learning path, recommended resources, and common mistakes to avoid. Format with bullet points.",1
API development overview,0
Plz explain programming paradigms,0
Brief on DevOps,0
PLZ EXPLAIN FEATURE ENGINEERING,0
"Provide a beginner-friendly introduction to API development. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
"Provide a beginner-friendly introduction to calculus applications. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
write about compiler design,0
"Explain the concept of Python programming using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
What about UI UX design,0
"Explain data science with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
Write a FAQ section for chatbot development with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
Help me with time series analysis,0
Info API development,0
Tell me about clean code principles,0
"Provide a beginner-friendly introduction to microservices. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
"Analyze how genetic engineering has evolved over the last decade. Cover: major milestones, current state, and predictions for the next 5 years. Use specific dates and examples.",1
"Describe blockchain technology in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
"Explain the concept of version control using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
Explain GraphQL in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
Something about digital forensics,0
Describe project management,0
What is statistical analysis,0
what about graphql,0
neural networks,0
Write a FAQ section for object oriented programming with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
What about time series analysis,0
I need info on anomaly detection,0
"Analyze how API development has evolved over the last decade. Cover: major milestones, current state, and predictions for the next 5 years. Use specific dates and examples.",1
"Explain quantum computing as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
"Provide a critical analysis of ecommerce. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
"Analyze how web development has evolved over the last decade. Cover: major milestones, current state, and predictions for the next 5 years. Use specific dates and examples.",1
"Explain robotics using the following structure: Problem it solves, How it works internally, When to use it, When NOT to use it, and one real project example.",1
algorithms overview,0
"You are mentoring a junior developer. Explain cloud computing with hands-on examples, common mistakes beginners make, and tips for mastering the concept. Use a friendly tone.",1
programming paradigms explain,0
"Explain the concept of blockchain technology using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
Brief on Docker containers,0
SOMETHING ABOUT CRYPTOCURRENCY,0
"You are a senior software engineer. Explain data structures with code examples, best practices, and common pitfalls. Structure your answer with clear sections.",1
You are an expert professor. Explain parallel computing to a beginner student step-by-step with practical examples and a summary at the end.,1
"Explain human computer interaction in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
Info fraud detection,0
"Explain speech recognition in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
containerization explain,0
"Explain sentiment analysis with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
"Create a study guide for parallel computing that includes: key terminology (5 terms), core concepts (3 points), practice questions (3 questions), and further reading suggestions.",1
explain calculus applications,0
Compare and contrast algorithms with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
"Write a detailed explanation of serverless computing covering: 1) Definition, 2) Key concepts, 3) Real-world applications, 4) Advantages and disadvantages. Use clear headings.",1
natural language processing overview,0
"Describe computer vision in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
Plz explain serverless computing,0
"Explain cybersecurity in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
Write about virtual reality,0
You are an expert professor. Explain data mining to a beginner student step-by-step with practical examples and a summary at the end.,1
"Explain version control as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
neural networks overview,0
"Write a comprehensive guide on renewable energy. Include: prerequisites, step-by-step learning path, recommended resources, and common mistakes to avoid. Format with bullet points.",1
plz explain design patterns,0
"Write about blockchain technology from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
Explain operating systems,0
Write about sentiment analysis,0
Tell me about UI UX design,0
"Provide a beginner-friendly introduction to financial technology. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
machine learning operations overview,0
plz explain cybersecurity,0
Plz explain cybersecurity,0
Talk about business intelligence,0
"You are mentoring a junior developer. Explain neural networks with hands-on examples, common mistakes beginners make, and tips for mastering the concept. Use a friendly tone.",1
"Analyze how data science has evolved over the last decade. Cover: major milestones, current state, and predictions for the next 5 years. Use specific dates and examples.",1
ethical hacking?,0
Define ecommerce,0
PLZ EXPLAIN NATURAL LANGUAGE PROCESSING,0
I need info on climate change,0
Define text summarization,0
WHAT ABOUT AGILE METHODOLOGY,0
TELL ME ABOUT PROBABILITY THEORY,0
"Explain digital forensics with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
"Design a lesson plan for teaching reinforcement learning to beginners. Include: learning objectives (3), key vocabulary (5 words), activities (2), and assessment criteria.",1
"Create a cheat sheet for game development. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
Tell me about financial technology,0
Something about CI CD pipelines,0
"Explain space exploration with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
"Provide a beginner-friendly introduction to version control. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
Compare and contrast transfer learning with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
Need to know quantum computing,0
"Explain Linux administration with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
Brief on functional programming,0
talk about model deployment,0
Help me with web development,0
algorithms,0
"Explain the concept of cloud computing using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
"Write a comprehensive guide on digital forensics. Include: prerequisites, step-by-step learning path, recommended resources, and common mistakes to avoid. Format with bullet points.",1
Help me with cybersecurity,0
"Create a cheat sheet for speech recognition. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
Info clustering algorithms,0
talk about natural language processing,0
PLZ EXPLAIN OPERATING SYSTEMS,0
Write a FAQ section for model deployment with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
i need info on model deployment,0
Compare and contrast business intelligence with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
I need info on financial technology,0
genetic engineering overview,0
"Analyze how augmented reality has evolved over the last decade. Cover: major milestones, current state, and predictions for the next 5 years. Use specific dates and examples.",1
Talk about web development,0
"Write about behavior driven development from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
"Explain programming paradigms as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
"Explain cloud computing in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
network security?,0
GIVE ME COMPUTER NETWORKING DETAILS,0
Tell me about 5G technology,0
You are an expert professor. Explain smart cities to a beginner student step-by-step with practical examples and a summary at the end.,1
Need to know big data,0
MACHINE LEARNING,0
What is robotics,0
"Explain the concept of supply chain management using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
"Provide a beginner-friendly introduction to containerization. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
"Describe Kubernetes orchestration in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
Compare and contrast computer vision with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
DEFINE ECOMMERCE,0
Info containerization,0
info containerization,0
Explain database management in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
Define API development,0
Talk about penetration testing,0
anomaly detection,0
"Design a lesson plan for teaching data structures to beginners. Include: learning objectives (3), key vocabulary (5 words), activities (2), and assessment criteria.",1
Give me decentralized finance details,0
INTERNET OF THINGS EXPLAIN,0
WHAT IS SPEECH RECOGNITION,0
Explain programming paradigms in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
Write a FAQ section for network security with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
image recognition explain,0
"Provide a critical analysis of continuous integration. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
"You are preparing exam notes. Explain computer vision covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
"Explain distributed systems in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
"Explain network security using the following structure: Problem it solves, How it works internally, When to use it, When NOT to use it, and one real project example.",1
You are an expert professor. Explain design patterns to a beginner student step-by-step with practical examples and a summary at the end.,1
"Describe test driven development in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
"Write about cloud storage from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
What is object oriented programming,0
Plz explain concurrent programming,0
Help me with internet of things,0
Explain web development,0
"Write about GraphQL from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
Need to know machine learning operations,0
explain artificial intelligence,0
What is photosynthesis,0
Give me photosynthesis details,0
Write a FAQ section for anomaly detection with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
"Write a blog post about automation testing for a tech audience. Include: catchy introduction, 3 main sections with subheadings, code snippet if relevant, and a call to action.",1
"Explain the concept of artificial intelligence using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
I NEED INFO ON FRAUD DETECTION,0
Help me with signal processing,0
"Explain speech recognition in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
BUSINESS INTELLIGENCE?,0
"Describe distributed systems in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
linear algebra,0
You are an expert professor. Explain compiler design to a beginner student step-by-step with practical examples and a summary at the end.,1
"Create a study guide for automation testing that includes: key terminology (5 terms), core concepts (3 points), practice questions (3 questions), and further reading suggestions.",1
FINANCIAL TECHNOLOGY OVERVIEW,0
What about data structures,0
"You are preparing exam notes. Explain Windows server covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
"Provide a critical analysis of space exploration. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
"Summarize project management in a professional report format. Include: executive summary, methodology, findings (3 key points), and recommendations. Limit to 300 words.",1
Write a FAQ section for information security with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
time series analysis explain,0
Something about digital forensics,0
Give me software engineering details,0
Need to know functional programming,0
speech recognition overview,0
Plz explain smart cities,0
"Design a lesson plan for teaching cloud computing to beginners. Include: learning objectives (3), key vocabulary (5 words), activities (2), and assessment criteria.",1
"Create a study guide for Kubernetes orchestration that includes: key terminology (5 terms), core concepts (3 points), practice questions (3 questions), and further reading suggestions.",1
Something about computer networking,0
"You are a technical writer. Create documentation for quantum computing including: overview, getting started guide, key features, and troubleshooting section. Use markdown formatting.",1
What is virtual reality,0
Tell me about speech recognition,0
"You are mentoring a junior developer. Explain data visualization with hands-on examples, common mistakes beginners make, and tips for mastering the concept. Use a friendly tone.",1
fraud detection,0
Something about mobile app development,0
Need to know artificial intelligence,0
Brief on game development,0
renewable energy overview,0
Need to know healthcare technology,0
Need to know genetic engineering,0
talk about concurrent programming,0
"You are a senior software engineer. Explain GraphQL with code examples, best practices, and common pitfalls. Structure your answer with clear sections.",1
Need to know model deployment,0
talk about decentralized finance,0
Plz explain fraud detection,0
Info photosynthesis,0
Explain chatbot development in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
need to know cryptocurrency,0
Give me model deployment details,0
"Explain artificial intelligence as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
INFO BUSINESS INTELLIGENCE,0
"You are preparing exam notes. Explain compiler design covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
clustering algorithms explain,0
data mining explain,0
Define model deployment,0
"Write about neural networks from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
Talk about probability theory,0
I NEED INFO ON ETHICAL HACKING,0
"Describe GraphQL in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
Write a FAQ section for data structures with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
Tell me about concurrent programming,0
penetration testing overview,0
"Explain game development as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
Write about augmented reality,0
Define digital forensics,0
"Explain anomaly detection as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
"Create a cheat sheet for behavior driven development. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
Describe ecommerce,0
"Describe penetration testing in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
"Describe Python programming in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
Talk about chatbot development,0
DEFINE PROBABILITY THEORY,0
"Create a study guide for business intelligence that includes: key terminology (5 terms), core concepts (3 points), practice questions (3 questions), and further reading suggestions.",1
need to know devops,0
"Explain supply chain management using the following structure: Problem it solves, How it works internally, When to use it, When NOT to use it, and one real project example.",1
UI UX design,0
Help me with operating systems,0
Brief on virtual reality,0
"Write a comprehensive guide on Windows server. Include: prerequisites, step-by-step learning path, recommended resources, and common mistakes to avoid. Format with bullet points.",1
"You are a senior software engineer. Explain neural networks with code examples, best practices, and common pitfalls. Structure your answer with clear sections.",1
need to know climate change,0
brief on cloud storage,0
"Provide a beginner-friendly introduction to reinforcement learning. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
"Explain concurrent programming with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
"Explain the concept of graph theory using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
"Explain information security with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
"Create a cheat sheet for business intelligence. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
Info database management,0
mobile app development,0
Compare and contrast model deployment with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
"Explain design patterns as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
"Explain artificial intelligence as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
"You are preparing exam notes. Explain 5G technology covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
write about ethical hacking,0
"Explain virtual reality in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
"Write a comprehensive guide on predictive analytics. Include: prerequisites, step-by-step learning path, recommended resources, and common mistakes to avoid. Format with bullet points.",1
"You are a technical writer. Create documentation for embedded systems including: overview, getting started guide, key features, and troubleshooting section. Use markdown formatting.",1
Write a FAQ section for digital forensics with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
"Create a cheat sheet for continuous integration. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
help me with space exploration,0
Tell me about speech recognition,0
"Explain cloud computing in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
natural language processing,0
